ลำดับ,หน่วยงาน,ชื่อหน่วยงาน,จังหวัด,ชื่อแหล่งท่องเที่ยว,latitude,longitude,เปิดตลอดปี,วันที่เริ่มปิด,วันที่สิ้นสุดการปิด,สาเหตุการปิด,หมายเหตุ,,,,,,,,,,,,,,
42,อุทยานแห่งชาติ,ทับลาน,ปราจีนบุรี,ลานกางเต็นท์ป่าลาน,14.21771,101.90086,ใช่,-,-,,,,,,,,,,,,,,,,
43,อุทยานแห่งชาติ,ทับลาน,นครราชสีมา,ลานกางเต็นท์ผาเก็บตะวัน,14.31932,101.92939,ใช่,1-มี.ค.,31-พ.ค.,เนื่องจากปัญหาไฟป่า และหมอกควันจากไฟป่า ,,,,,,,,,,,,,,,
44,อุทยานแห่งชาติ,ปางสีดา,สระแก้ว,น้ำตกปางสีดา,13.99452,102.20637,ใช่,-,-,,,,,,,,,,,,,,,,
45,อุทยานแห่งชาติ,ปางสีดา,สระแก้ว,อ่างเก็บน้ำพระปรง,14.00092,102.42456,ใช่,-,-,,,,,,,,,,,,,,,,
46,อุทยานแห่งชาติ,ปางสีดา,สระแก้ว,น้ำตกผาตะเคียน,14.00486,102.22087,ไม่ใช่,1-ม.ค.,31-ส.ค.,เนื่องจากเป็นช่วงฤดูแล้ง ไม่มีน้ำ,,,,,,,,,,,,,,,
47,อุทยานแห่งชาติ,ปางสีดา,ปราจีนบุรี,ภูเขาเจดีย์,14.07575,102.06484,ไม่ใช่,-,-,,,,,,,,,,,,,,,,
48,อุทยานแห่งชาติ,ปางสีดา,สระแก้ว,น้ำตกแควมะค่า,14.12147,102.20784,ไม่ใช่,1-ม.ค.,31-ส.ค.,เนื่องจากเป็นช่วงฤดูแล้ง ไม่มีน้ำ,,,,,,,,,,,,,,,
49,อุทยานแห่งชาติ,ปางสีดา,สระแก้ว,น้ำตกถ้ำค้างคาว,14.09396,102.30815,ไม่ใช่,1-ม.ค.,31-ส.ค.,เนื่องจากเป็นช่วงฤดูแล้ง ไม่มีน้ำ,,,,,,,,,,,,,,,
50,อุทยานแห่งชาติ,ปางสีดา,สระแก้ว,ทุ่งหญ้าบุตาปอด,14.01522,102.19604,ไม่ใช่,-,-,ปิดตลอดทั้งปี,,,,,,,,,,,,,,,
51,อุทยานแห่งชาติ,ปางสีดา,สระแก้ว,น้ำตกทับเทวา,13.99046,102.30862,ไม่ใช่,1-ม.ค.,31-ส.ค.,เนื่องจากเป็นช่วงฤดูแล้ง ไม่มีน้ำ,,,,,,,,,,,,,,,
