fiscal_year_be,park_name,office,month_th,month_num,calendar_year_be,calendar_year_ce,date,visitors,min_rain,max_rain,avg_rain,total_attractions,open_attractions,closed_attractions,unknown_attractions,known_attractions,availability_pct,unknown_pct,availability_data_status
2561,ดอยผ้าห่มปก,สำนักบริหารพื้นที่อนุรักษ์ที่ 16,ม.ค.,1,2561,2018,2018-01-01,28607,0.300000012,30.39999962,6.695410436,10.0,9.0,0.0,1.0,9.0,100.0,10.0,Known
2561,ดอยภูคา,สำนักบริหารพื้นที่อนุรักษ์ที่ 13,ม.ค.,1,2561,2018,2018-01-01,6394,11.39999962,30.78000069,17.2318547,14.0,14.0,0.0,0.0,14.0,100.0,0.0,Known
2561,ดอยภูนาง,สำนักบริหารพื้นที่อนุรักษ์ที่ 15,ม.ค.,1,2561,2018,2018-01-01,1311,7.659999847,21.70000076,12.50830387,7.0,7.0,0.0,0.0,7.0,100.0,0.0,Known
2561,ดอยสอยมาลัย,สำนักบริหารพื้นที่อนุรักษ์ที่ 14,ม.ค.,1,2561,2018,2018-01-01,4342,0.0,32.0,9.917311154,5.0,5.0,0.0,0.0,5.0,100.0,0.0,Known
2561,ดอยสุเทพ-ปุย,สำนักบริหารพื้นที่อนุรักษ์ที่ 16,ม.ค.,1,2561,2018,2018-01-01,5866,0.300000012,30.39999962,6.695410436,17.0,17.0,0.0,0.0,17.0,100.0,0.0,Known
2561,ดอยหลวง,สำนักบริหารพื้นที่อนุรักษ์ที่ 15,ม.ค.,1,2561,2018,2018-01-01,1862,4.769999981,16.86000061,8.776122468,8.0,7.0,0.0,1.0,7.0,100.0,12.5,Known
2561,ดอยอินทนนท์,สำนักบริหารพื้นที่อนุรักษ์ที่ 16,ม.ค.,1,2561,2018,2018-01-01,6254,0.300000012,30.39999962,6.695410436,18.0,16.0,0.0,2.0,16.0,100.0,11.11111111111111,Known
2561,ดอยเวียงผา,สำนักบริหารพื้นที่อนุรักษ์ที่ 16,ม.ค.,1,2561,2018,2018-01-01,3065,0.300000012,30.39999962,6.695410436,2.0,2.0,0.0,0.0,2.0,100.0,0.0,Known
2561,ตะรุเตา,สำนักบริหารพื้นที่อนุรักษ์ที่ 5,ม.ค.,1,2561,2018,2018-01-01,33291,83.63999939,196.6900024,127.1310593,39.0,35.0,0.0,4.0,35.0,100.0,10.256410256410255,Known
2561,ตากสินมหาราช,สำนักบริหารพื้นที่อนุรักษ์ที่ 14,ม.ค.,1,2561,2018,2018-01-01,4342,0.0,32.0,9.917311154,6.0,6.0,0.0,0.0,6.0,100.0,0.0,Known
2561,ตาดหมอก,สำนักบริหารพื้นที่อนุรักษ์ที่ 11,ม.ค.,1,2561,2018,2018-01-01,2007,2.809999943,94.84999847,20.96562279,6.0,6.0,0.0,0.0,6.0,100.0,0.0,Known
