fiscal_year_be,park_name_x,office,month_th,visitors,month_num,calendar_year_be,calendar_year_ce,date,park_key,park_key_final,park_name_y,min_rain,max_rain,avg_rain
2566,ดอยสุเทพ-ปุย,สำนักบริหารพื้นที่อนุรักษ์ที่ 16 (เชียงใหม่),ก.ย.,11495,9,2566,2023,2023-09-01,ดอยสุเทพ-ปุย,ดอยสุเทพ-ปุย,ดอยสุเทพ-ปุย,299.3399963,522.7700195,378.3457281
2566,ดอยหลวง,สำนักบริหารพื้นที่อนุรักษ์ที่ 15 (เชียงราย),ก.ย.,0,9,2566,2023,2023-09-01,ดอยหลวง,ดอยหลวง,ดอยหลวง,245.6300049,394.1000061,290.5354538
2566,ดอยอินทนนท์,สำนักบริหารพื้นที่อนุรักษ์ที่ 16 (เชียงใหม่),ก.ย.,30973,9,2566,2023,2023-09-01,ดอยอินทนนท์,ดอยอินทนนท์,ดอยอินทนนท์,299.3399963,522.7700195,378.3457281
2566,ดอยเวียงผา,สำนักบริหารพื้นที่อนุรักษ์ที่ 16 (เชียงใหม่),ก.ย.,35,9,2566,2023,2023-09-01,ดอยเวียงผา,ดอยเวียงผา,ดอยเวียงผา,299.3399963,522.7700195,378.3457281
2566,ตะรุเตา,สำนักบริหารพื้นที่อนุรักษ์ที่ 5 (นครศรีธรรมราช),ก.ย.,4940,9,2566,2023,2023-09-01,ตะรุเตา,ตะรุเตา,ตะรุเตา,263.3999939,463.9299927,363.8566553
2566,ตากสินมหาราช,สำนักบริหารพื้นที่อนุรักษ์ที่ 14 (ตาก),ก.ย.,1346,9,2566,2023,2023-09-01,ตากสินมหาราช,ตากสินมหาราช,ตากสินมหาราช,253.4199982,460.9700012,359.5609933
2566,ตาดหมอก,สำนักบริหารพื้นที่อนุรักษ์ที่ 11 (พิษณุโลก),ก.ย.,1508,9,2566,2023,2023-09-01,ตาดหมอก,ตาดหมอก,ตาดหมอก,197.1199951,340.5799866,302.5674189
2566,ตาดโตน,สำนักบริหารพื้นที่อนุรักษ์ที่ 7 (นครราชสีมา),ก.ย.,5167,9,2566,2023,2023-09-01,ตาดโตน,ตาดโตน,ตาดโตน,217.5700073,363.8200073,310.844778
2566,ตาพระยา,สำนักบริหารพื้นที่อนุรักษ์ที่ 1 (ปราจีนบุรี),ก.ย.,395,9,2566,2023,2023-09-01,ตาพระยา,ตาพระยา,ตาพระยา,253.3600006,415.6900024,348.7190825
2566,ต้นสักใหญ่,สำนักบริหารพื้นที่อนุรักษ์ที่ 11 (พิษณุโลก),ก.ย.,1601,9,2566,2023,2023-09-01,ต้นสักใหญ่,ต้นสักใหญ่,ต้นสักใหญ่,284.6600037,537.25,433.2430176
