park_name,park_status_final,month,park_status_key,total_attractions,open_attractions,closed_attractions,unknown_attractions,known_attractions,availability_pct,unknown_pct,availability_data_status
ออบขาน,ออบขาน,9,ออบขาน,5.0,1.0,4.0,0.0,5.0,20.0,0.0,Known
ออบขาน,ออบขาน,10,ออบขาน,5.0,1.0,4.0,0.0,5.0,20.0,0.0,Known
ออบขาน,ออบขาน,11,ออบขาน,5.0,5.0,0.0,0.0,5.0,100.0,0.0,Known
ออบขาน,ออบขาน,12,ออบขาน,5.0,5.0,0.0,0.0,5.0,100.0,0.0,Known
ออบหลวง,ออบหลวง,1,ออบหลวง,7.0,7.0,0.0,0.0,7.0,100.0,0.0,Known
ออบหลวง,ออบหลวง,2,ออบหลวง,7.0,7.0,0.0,0.0,7.0,100.0,0.0,Known
ออบหลวง,ออบหลวง,3,ออบหลวง,7.0,7.0,0.0,0.0,7.0,100.0,0.0,Known
ออบหลวง,ออบหลวง,4,ออบหลวง,7.0,7.0,0.0,0.0,7.0,100.0,0.0,Known
ออบหลวง,ออบหลวง,5,ออบหลวง,7.0,7.0,0.0,0.0,7.0,100.0,0.0,Known
ออบหลวง,ออบหลวง,6,ออบหลวง,7.0,7.0,0.0,0.0,7.0,100.0,0.0,Known
ออบหลวง,ออบหลวง,7,ออบหลวง,7.0,7.0,0.0,0.0,7.0,100.0,0.0,Known
ออบหลวง,ออบหลวง,8,ออบหลวง,7.0,7.0,0.0,0.0,7.0,100.0,0.0,Known
ออบหลวง,ออบหลวง,9,ออบหลวง,7.0,4.0,3.0,0.0,7.0,57.14285714285714,0.0,Known
ออบหลวง,ออบหลวง,10,ออบหลวง,7.0,7.0,0.0,0.0,7.0,100.0,0.0,Known
ออบหลวง,ออบหลวง,11,ออบหลวง,7.0,7.0,0.0,0.0,7.0,100.0,0.0,Known
ออบหลวง,ออบหลวง,12,ออบหลวง,7.0,7.0,0.0,0.0,7.0,100.0,0.0,Known
อ่าวพังงา,อ่าวพังงา,1,อ่าวพังงา,19.0,19.0,0.0,0.0,19.0,100.0,0.0,Known
อ่าวพังงา,อ่าวพังงา,2,อ่าวพังงา,19.0,19.0,0.0,0.0,19.0,100.0,0.0,Known
อ่าวพังงา,อ่าวพังงา,3,อ่าวพังงา,19.0,19.0,0.0,0.0,19.0,100.0,0.0,Known
อ่าวพังงา,อ่าวพังงา,4,อ่าวพังงา,19.0,19.0,0.0,0.0,19.0,100.0,0.0,Known
อ่าวพังงา,อ่าวพังงา,5,อ่าวพังงา,19.0,19.0,0.0,0.0,19.0,100.0,0.0,Known
อ่าวพังงา,อ่าวพังงา,6,อ่าวพังงา,19.0,19.0,0.0,0.0,19.0,100.0,0.0,Known
อ่าวพังงา,อ่าวพังงา,7,อ่าวพังงา,19.0,19.0,0.0,0.0,19.0,100.0,0.0,Known
อ่าวพังงา,อ่าวพังงา,8,อ่าวพังงา,19.0,14.0,5.0,0.0,19.0,73.68421052631578,0.0,Known
อ่าวพังงา,อ่าวพังงา,9,อ่าวพังงา,19.0,14.0,5.0,0.0,19.0,73.68421052631578,0.0,Known
อ่าวพังงา,อ่าวพังงา,10,อ่าวพังงา,19.0,19.0,0.0,0.0,19.0,100.0,0.0,Known
อ่าวพังงา,อ่าวพังงา,11,อ่าวพังงา,19.0,19.0,0.0,0.0,19.0,100.0,0.0,Known
อ่าวพังงา,อ่าวพังงา,12,อ่าวพังงา,19.0,19.0,0.0,0.0,19.0,100.0,0.0,Known
อ่าวมะนาว-เขาตันหยง,อ่าวมะนาว-เขาตันหยง,1,อ่าวมะนาว-เขาตันหยง,3.0,3.0,0.0,0.0,3.0,100.0,0.0,Known
อ่าวมะนาว-เขาตันหยง,อ่าวมะนาว-เขาตันหยง,2,อ่าวมะนาว-เขาตันหยง,3.0,3.0,0.0,0.0,3.0,100.0,0.0,Known
อ่าวมะนาว-เขาตันหยง,อ่าวมะนาว-เขาตันหยง,3,อ่าวมะนาว-เขาตันหยง,3.0,3.0,0.0,0.0,3.0,100.0,0.0,Known
อ่าวมะนาว-เขาตันหยง,อ่าวมะนาว-เขาตันหยง,4,อ่าวมะนาว-เขาตันหยง,3.0,3.0,0.0,0.0,3.0,100.0,0.0,Known
อ่าวมะนาว-เขาตันหยง,อ่าวมะนาว-เขาตันหยง,5,อ่าวมะนาว-เขาตันหยง,3.0,3.0,0.0,0.0,3.0,100.0,0.0,Known
อ่าวมะนาว-เขาตันหยง,อ่าวมะนาว-เขาตันหยง,6,อ่าวมะนาว-เขาตันหยง,3.0,3.0,0.0,0.0,3.0,100.0,0.0,Known
อ่าวมะนาว-เขาตันหยง,อ่าวมะนาว-เขาตันหยง,7,อ่าวมะนาว-เขาตันหยง,3.0,3.0,0.0,0.0,3.0,100.0,0.0,Known
อ่าวมะนาว-เขาตันหยง,อ่าวมะนาว-เขาตันหยง,8,อ่าวมะนาว-เขาตันหยง,3.0,3.0,0.0,0.0,3.0,100.0,0.0,Known
อ่าวมะนาว-เขาตันหยง,อ่าวมะนาว-เขาตันหยง,9,อ่าวมะนาว-เขาตันหยง,3.0,3.0,0.0,0.0,3.0,100.0,0.0,Known
อ่าวมะนาว-เขาตันหยง,อ่าวมะนาว-เขาตันหยง,10,อ่าวมะนาว-เขาตันหยง,3.0,3.0,0.0,0.0,3.0,100.0,0.0,Known
อ่าวมะนาว-เขาตันหยง,อ่าวมะนาว-เขาตันหยง,11,อ่าวมะนาว-เขาตันหยง,3.0,0.0,3.0,0.0,3.0,0.0,0.0,Known
อ่าวมะนาว-เขาตันหยง,อ่าวมะนาว-เขาตันหยง,12,อ่าวมะนาว-เขาตันหยง,3.0,0.0,3.0,0.0,3.0,0.0,0.0,Known
เขาคิชฌกูฎ,เขาคิชฌกูฏ,1,เขาคิชฌกูฏ,7.0,6.0,1.0,0.0,7.0,85.71428571428571,0.0,Known
เขาคิชฌกูฎ,เขาคิชฌกูฏ,2,เขาคิชฌกูฏ,7.0,6.0,1.0,0.0,7.0,85.71428571428571,0.0,Known
เขาคิชฌกูฎ,เขาคิชฌกูฏ,3,เขาคิชฌกูฏ,7.0,6.0,1.0,0.0,7.0,85.71428571428571,0.0,Known
เขาคิชฌกูฎ,เขาคิชฌกูฏ,4,เขาคิชฌกูฏ,7.0,6.0,1.0,0.0,7.0,85.71428571428571,0.0,Known
เขาคิชฌกูฎ,เขาคิชฌกูฏ,5,เขาคิชฌกูฏ,7.0,6.0,1.0,0.0,7.0,85.71428571428571,0.0,Known
เขาคิชฌกูฎ,เขาคิชฌกูฏ,6,เขาคิชฌกูฏ,7.0,6.0,1.0,0.0,7.0,85.71428571428571,0.0,Known
เขาคิชฌกูฎ,เขาคิชฌกูฏ,7,เขาคิชฌกูฏ,7.0,6.0,1.0,0.0,7.0,85.71428571428571,0.0,Known
