park_name,province,office,latitude,longitude
ภูสระดอกบัว,มุกดาหาร,สำนักบริหารพื้นที่อนุรักษ์ที่ 9 (อุบลราชธานี),16.23921,104.73107999999999
ภูสวนทราย,เลย,สำนักบริหารพื้นที่อนุรักษ์ที่ 8 (ขอนแก่น),17.504325,100.9623625
ภูสวนทราย (นาแห้ว),เลย,,17.504325,100.9623625
ภูสอยดาว,พิษณุโลก,สำนักบริหารพื้นที่อนุรักษ์ที่ 11 (พิษณุโลก),17.721235,100.97025
ภูหินจอมธาตุ-ภูพระบาท,อุดรธานีี,สำนักบริหารพื้นที่อนุรักษ์ที่ 10 (อุดรธานี),17.429998,102.336242
ภูหินร่องกล้า,พิษณุโลก,สำนักบริหารพื้นที่อนุรักษ์ที่ 11 (พิษณุโลก),,
ภูเก้า-ภูพานคำ,หนองบัวลำภู,สำนักบริหารพื้นที่อนุรักษ์ที่ 10 (อุดรธานี),16.927579,102.4958685
ภูเรือ,เลย,สำนักบริหารพื้นที่อนุรักษ์ที่ 8 (ขอนแก่น),17.50129,101.34252
ภูเวียง,ขอนแก่น,สำนักบริหารพื้นที่อนุรักษ์ที่ 8 (ขอนแก่น),16.780651,102.2571465
ภูแลนคา,ชัยภูมิ,สำนักบริหารพื้นที่อนุรักษ์ที่ 7 (นครราชสีมา),15.9965095,101.87626549999999
รามคำแหง,สุุโขทัย,สำนักบริหารพื้นที่อนุรักษ์ที่ 14 (ตาก),16.866618,99.675683
ลานสาง,ตาก,สำนักบริหารพื้นที่อนุรักษ์ที่ 14 (ตาก),16.777145,99.003715
ลำคลองงู,กาญจนบุรี,สำนักบริหารพื้นที่อนุรักษ์ที่ 3 (บ้านโป่ง),14.8378665,98.84966700000001
ลำน้ำกก,เชียงราย,สำนักบริหารพื้นที่อนุรักษ์ที่ 15 (เชียงราย),19.963063,99.680222
ลำน้ำกระบุรี,ระนอง,สำนักบริหารพื้นที่อนุรักษ์ที่ 4 (สุราษฎร์ธานี),10.074408,98.663026
ลำน้ำน่าน,อุตรดิตถ์,สำนักบริหารพื้นที่อนุรักษ์ที่ 11 (พิษณุโลก),17.874176300000002,100.42161999999999
ศรีน่าน,น่าน,สำนักบริหารพื้นที่อนุรักษ์ที่ 13 (แพร่),18.368789999999997,100.83349999999999
ศรีพังงา,พังงา,สำนักบริหารพื้นที่อนุรักษ์ที่ 5 (นครศรีธรรมราช),8.996393,98.464502
ศรีลานนา,เชียงใหม่,สำนักบริหารพื้นที่อนุรักษ์ที่ 16 (เชียงใหม่),19.45218381,99.20302229
ศรีสัชนาลัย,สุุโขทัย,สำนักบริหารพื้นที่อนุรักษ์ที่ 14 (ตาก),17.5653845,99.477963
สันกาลาคีรี,สงขลา,สำนักบริหารพื้นที่อนุรักษ์ที่ 6 (สงขลา),6.1931766,100.5526648
สาละวิน,แม่ฮ่องสอน,สำนักบริหารพื้นที่อนุรักษ์ที่ 16 สาขาแม่สะเรียง,18.06706098,97.73924712
สิรินาถ,ภูเก็ต,สำนักบริหารพื้นที่อนุรักษ์ที่ 5 (นครศรีธรรมราช),8.100366,98.288764
